,圖號,圖名,卷片號或數位照片檔名,CloudRate,SecureType,拍攝日期,MinX,MinY,MaxX,MaxY,現有檔名,Roll,camera,Unnamed: 13,Unnamed: 14,Unnamed: 15
2268,94181072,嘉興,160423a_12~0522_hr4,40,一般圖,20160423,176394.307,2522118.489,178974.004,2524899.128,94181072_160423a_12~0522_hr4.tif,160423a,DMC,,,
2310,94181074,阿公店水庫,220407a_14~0064_hr4c,40,一般圖,20220407,181527.767,2522095.333,184106.509,2524875.083,94181074_220407a_14~0064_hr4c.tif,220407a,DMC,,,
2356,94181077,中寮,160918a_17~0032_hr4,20,一般圖,20160918,189227.89,2522063.855,191805.202,2524842.275,94181077_160918a_17~0032_hr4.tif,160918a,DMC,,,
2433,94181082,岡山,140514a_12~0122_hr4,10,一般圖,20140514,176380.89,2519350.097,178961.042,2522130.717,94181082_140514a_12~0122_hr4.tif,140514a,DMC,,,
2452,94181083,大寮里,140915a_13~0209_hr4,20,一般圖,20140915,178948.093,2519338.313,181527.767,2522118.489,94181083_140915a_13~0209_hr4.tif,140915a,DMC,,,
2506,94181086,捆牛湖,130909a_16~0048_hr4,10,一般圖,20130909,186649.646,2519305.561,189227.89,2522084.406,94181086_130909a_16~0048_hr4.tif,130909a,DMC,,,
2527,94181087,奧深水,180408_0718_mtbn,10,一般圖,20180408,189216.813,2519295.511,191794.581,2522073.914,94181087_180408_0718_mtbn.tif,180408_,ADS40,,,
2534,94181088,嶺口,120902a_18~0059_hr4c,90,一般圖,20120902,191783.972,2519285.894,194361.265,2522063.855,94181088_120902a_18~0059_hr4c.tif,120902a,DMC,,,
2560,94181089,潮厝,160918a_19~0247_hr4c,90,一般圖,20160918,194351.123,2519276.712,196927.94,2522054.231,94181089_160918a_19~0247_hr4c.tif,160918a,DMC,,,
2624,94181093,橋頭,150416a_13~0678_hr4,10,一般圖,20150416,178935.157,2516569.94,181515.286,2519350.097,94181093_150416a_13~0678_hr4.tif,150416a,DMC,,,
2783,94182002,九甲圍,150416a_12~0751_hr4c,10,一般圖,20150416,176354.098,2513813.341,178935.157,2516593.923,94182002_150416a_12~0751_hr4c.tif,150416a,DMC,,,
2858,94182006,柑宅巷,141026a_16~0125_hr4,40,一般圖,20141026,186626.592,2513768.881,189205.748,2516547.691,94182006_141026a_16~0125_hr4.tif,141026a,DMC,,,
2861,94182006,柑宅巷,160918a_16~0129_hr4,90,一般圖,20160918,186626.592,2513768.881,189205.748,2516547.691,94182006_160918a_16~0129_hr4.tif,160918a,DMC,,,
2893,94182008,溪埔,170923_0254_mtbnc,40,一般圖,20170923,191762.787,2513749.248,194340.992,2516527.175,94182008_170923_0254_mtbnc.tif,170923_,ADS40,,,
3065,94182018,洲子,140826a_18~0140_hr4c,40,一般圖,20140826,191752.211,2510980.938,194330.872,2513758.848,94182018_140826a_18~0140_hr4c.tif,140826a,DMC,,,
3131,94182022,左營,110508_0403_mtbnc,10,一般圖,20110508,176327.362,2508276.618,178909.327,2511057.162,94182022_110508_0403_mtbnc.tif,110508_,ADS40,,,
3150,94182023,高楠新村,131129a_13~0092_hr4c,0,一般圖,20131129,178896.432,2508264.874,181477.922,2511044.975,94182023_131129a_13~0092_hr4c.tif,131129a,DMC,,,
3250,94182028,大莊,150923a_18~0115_hr4c,10,一般圖,20150923,191741.646,2508212.636,194320.762,2510990.529,94182028_150923a_18~0115_hr4c.tif,150923a,DMC,,,
3252,94182028,大莊,160918a_18~0237_hr4c,20,一般圖,20160918,191741.646,2508212.636,194320.762,2510990.529,94182028_160918a_18~0237_hr4c.tif,160918a,DMC,,,
3350,94182034,澄清湖,091128a_14~0091c,30,一般圖,20091128,181453.077,2505485.234,184034.544,2508264.874,94182034_091128a_14~0091_rgbc.tif,091128a,DMC,,,
3380,94182035,鳥松,150923a_15~0249_hr4c,30,一般圖,20150923,184022.594,2505474.363,186603.586,2508253.562,94182035_150923a_15~0249_hr4c.tif,150923a,DMC,,,
3542,94182044,鳳山市(西部),100517a_14~0322_hr4c,40,一般圖,20100517,181440.674,2502716.913,184022.594,2505496.536,94182044_100517a_14~0322_hr4c.tif,100517a,DMC,,,
3607,94182047,義和村,141018a_17~0545_hr4,40,一般圖,20141018,189150.593,2502685.625,191731.092,2505463.924,94182047_141018a_17~0545_hr4.tif,141018a,DMC,,,
3817,94182058,萬丹堤防,090318a_18~0126_rgb,0,一般圖,20090318,191570.0,2499765.0,194435.0,2502830.0,94182058_090318a_18~0126_rgb.tif,090318a,DMC,,,
3823,94182058,萬丹堤防,140514a_18~0414_hr4,20,一般圖,20140514,191710.017,2499907.782,194290.497,2502685.625,94182058_140514a_18~0414_hr4.tif,140514a,DMC,,,
3923,94182063,草衙,140514a_13~0217_hr4c,40,一般圖,20140514,178844.988,2497191.572,181428.284,2499971.598,94182063_140514a_13~0217_hr4c.tif,140514a,DMC,,,
3985,94182066,拷潭,160504a_16~0091_hr4,20,一般圖,20160504,186557.719,2497159.045,189139.596,2499937.75,94182066_160504a_16~0091_hr4.tif,160504a,DMC,,,
4061,94182070,萬丹,110508_0345_mtbn,20,一般圖,20110508,196841.242,2497121.706,199421.232,2499898.654,94182070_110508_0345_mtbn.tif,110508_,ADS40,,,
4116,94182074,小港,091128a_14~0107_rgb,90,一般圖,20091128,181265.0,2494270.0,184130.0,2497335.0,94182074_091128a_14~0107_rgb.tif,091128a,DMC,,,
4163,94182076,大坪頂,150923a_16~0340_hr4c,40,一般圖,20150923,186546.282,2494390.769,189128.612,2497169.457,94182076_150923a_16~0340_hr4c.tif,150923a,DMC,,,
4222,94182079,香社,170430_0316_mtbn,20,一般圖,20170430,194260.326,2494362.144,196841.242,2497139.514,94182079_170430_0316_mtbn.tif,170430_,ADS40,,,
4346,94182086,中厝村,220924a_16~0011_hr4c,20,一般圖,20220924,186534.857,2491622.502,189117.638,2494401.172,94182086_220924a_16~0011_hr4c.tif,220924a,DMC,,,
4352,94182087,昭明村,121002a_17~0159_hr4,40,一般圖,20121002,189106.677,2491612.538,191688.986,2494390.769,94182087_121002a_17~0159_hr4.tif,121002a,DMC,,,
4402,94182089,仙吉村,190826_0249_mtbn,0,一般圖,20190826,194250.291,2491593.901,196831.659,2494371.255,94182089_190826_0249_mtbn.tif,190826_,ADS40,,,
4443,94182094,鳳鳴村,180902_0340_mtbn,0,一般圖,20180902,181378.855,2488875.441,183963.03,2491654.972,94182094_180902_0340_mtbn.tif,180902_,ADS40,,,
4633,94183040,高壽路,190826_0212_mtbnc,10,一般圖,20190826,171174.914,2505533.034,173758.283,2508314.444,94183040_190826_0212_mtbnc.tif,190826_,ADS40,,,
4656,94183060,高雄港防波堤,140514a_10~0077_hr4,20,一般圖,20140514,171146.403,2499996.319,173730.672,2502777.691,94183060_140514a_10~0077_hr4.tif,140514a,DMC,,,
5054,94184040,中洲,120917a_10~0127_hr4,0,一般圖,20120917,171318.367,2533217.115,173897.202,2535998.724,94184040_120917a_10~0127_hr4.tif,120917a,DMC,,,
5084,94184047,頂茄萣,170429_0225_mtbn,0,一般圖,20170429,163607.844,2530489.366,166188.578,2533272.296,94184047_170429_0225_mtbn.tif,170429_,ADS40,,,
5148,94184050,大湖,180405_0206_mtbn,20,一般圖,20180405,171303.954,2530448.669,173883.245,2533230.257,94184050_180405_0206_mtbn.tif,180405_,ADS40,,,
5313,94184080,維新,140915a_10~0088_hr4,0,一般圖,20140915,171260.806,2522143.38,173841.461,2524924.91,94184080_140915a_10~0088_hr4.tif,140915a,DMC,,,
5414,94191001,雙溪口,161105a_11~0555_hr4,90,一般圖,20161105,174207.909,2596880.812,176775.642,2599662.418,94191001_161105a_11~0555_hr4.tif,161105a,DMC,,,
5715,94191015,塗溝,140624a_15~0019_hr4c,10,一般圖,20140624,184411.208,2594064.848,186977.448,2596844.62,94191015_140624a_15~0019_hr4c.tif,140624a,DMC,,,
5728,94191016,柴頭港,090505a_16~0109c,10,一般圖,20090505,186965.579,2594054.124,189531.329,2596833.444,94191016_090505a_16~0109_rgbc.tif,090505a,DMC,,,
5826,94191021,馬稠後,140529a_11~0248_hr4,30,一般圖,20140529,174179.374,2591343.551,176748.042,2594125.118,94191021_140529a_11~0248_hr4.tif,140529a,DMC,,,
5851,94191022,頂港子墘,140525a_12~0239_hr4,30,一般圖,20140525,176734.262,2591331.064,179302.439,2594112.177,94191022_140525a_12~0239_hr4.tif,140525a,DMC,,,
5894,94191024,梅子厝,110420_0500_mtbn,90,一般圖,20110420,181844.01,2591307.418,184411.208,2594087.625,94191024_110420_0500_mtbn.tif,110420_,ADS40,,,
5949,94191026,水上,170703_0211_mtbnc,30,一般圖,20170703,186953.722,2591285.546,189519.941,2594064.848,94191026_170703_0211_mtbnc.tif,170703_,ADS40,,,
5996,94191029,三界埔,100630a_19~0146_hr4,40,一般圖,20100630,194618.228,2591256.061,197182.984,2594034.008,94191029_100630a_19~0146_hr4.tif,100630a,DMC,,,
6015,94191030,頂六,140609a_20~0419_hr4,40,一般圖,20140609,197173.049,2591247.12,199737.317,2594024.616,94191030_140609a_20~0419_hr4.tif,140609a,DMC,,,
6059,94191032,鹿草,130928a_12~0352_hr4,20,一般圖,20130928,176720.497,2588562.457,179289.141,2591343.551,94191032_130928a_12~0352_hr4.tif,130928a,DMC,,,
6060,94191032,鹿草,140525a_12~0235_hr4,40,一般圖,20140525,176720.497,2588562.457,179289.141,2591343.551,94191032_140525a_12~0235_hr4.tif,140525a,DMC,,,
6065,94191032,鹿草,161105a_12~0769_hr4,90,一般圖,20161105,176720.497,2588562.457,179289.141,2591343.551,94191032_161105a_12~0769_hr4.tif,161105a,DMC,,,
6098,94191034,後堀,090505a_14~0125_rgb,10,一般圖,20090505,181685.0,2588395.0,184550.0,2591460.0,94191034_090505a_14~0125_rgb.tif,090505a,DMC,,,
6245,94191041,龜佛山,151015a_11~0601_hr4,0,一般圖,20151015,174150.897,2585806.325,176720.497,2588587.854,94191041_151015a_11~0601_hr4.tif,151015a,DMC,,,
6465,94191052,盧竹潭,130601a_12~0243_hr4,20,一般圖,20130601,176693.008,2583025.269,179262.583,2585806.325,94191052_130601a_12~0243_hr4.tif,130601a,DMC,,,
6516,94191054,藥店口,161105a_14~0705_hr4,30,一般圖,20161105,181805.633,2583001.682,184374.232,2585781.834,94191054_161105a_14~0705_hr4.tif,161105a,DMC,,,
6557,94191056,頂秀祐,141026a_16~0025_hr4,10,一般圖,20141026,186918.222,2582979.863,189485.846,2585759.112,94191056_141026a_16~0025_hr4.tif,141026a,DMC,,,
6684,94191063,新港東,140525a_13~0133_hr4,20,一般圖,20140525,179236.08,2580244.683,181805.633,2583025.269,94191063_140525a_13~0133_hr4.tif,140525a,DMC,,,
6835,94191071,鹽水,130601a_11~0103_hr4,40,一般圖,20130601,174108.29,2577500.552,176679.284,2580282.023,94191071_130601a_11~0103_hr4.tif,130601a,DMC,,,
6841,94191071,鹽水,151015a_11~0589_hr4,0,一般圖,20151015,174108.29,2577500.552,176679.284,2580282.023,94191071_151015a_11~0589_hr4.tif,151015a,DMC,,,
6852,94191072,茄苳腳,090506a_12~0380_rgb,10,一般圖,20090506,176520.0,2577345.0,179385.0,2580410.0,94191072_090506a_12~0380_rgb.tif,090506a,DMC,,,
6965,94191077,科里,100711a_17~0107_hr4c,20,一般圖,20100711,189451.855,2577432.556,192019.926,2580211.32,94191077_100711a_17~0107_hr4c.tif,100711a,DMC,,,
7155,94191087,牛肉崎,100711a_17~0103_hr4c,30,一般圖,20100711,189440.547,2574664.038,192009.085,2577442.785,94191087_100711a_17~0103_hr4c.tif,100711a,DMC,,,
7236,94191092,麻豆寮,130928a_12~0376_hr4,40,一般圖,20130928,176638.196,2571950.997,179209.63,2574731.978,94191092_130928a_12~0376_hr4.tif,130928a,DMC,,,
7279,94191094,新厝,100711a_14~0071_hr4,40,一般圖,20100711,181754.645,2571927.488,184325.106,2574707.567,94191094_100711a_14~0071_hr4.tif,100711a,DMC,,,
7451,94192003,林鳳營,171024_0220_mtbn,0,一般圖,20171024,179183.234,2569170.486,181754.645,2571950.997,94192003_171024_0220_mtbn.tif,171024_,ADS40,,,
7469,94192004,六甲,150423a_14~0147_hr4,20,一般圖,20150423,181741.93,2569158.962,184312.855,2571939.022,94192004_150423a_14~0147_hr4.tif,150423a,DMC,,,
7491,94192005,南湖,150423a_15~0312_hr4,40,一般圖,20150423,184300.617,2569147.877,186871.057,2571927.488,94192005_150423a_15~0312_hr4.tif,150423a,DMC,,,
7502,94192006,尖山路口,120922a_16~0066_hr4,0,一般圖,20120922,186859.296,2569137.233,189429.251,2571916.395,94192006_120922a_16~0066_hr4.tif,120922a,DMC,,,
7511,94192006,尖山路口,191130_0603_mtbn,20,一般圖,20191130,186859.296,2569137.233,189429.251,2571916.395,94192006_191130_0603_mtbn.tif,191130_,ADS40,,,
7631,94192014,烏山頭,100711a_14~0063_hr4,40,一般圖,20100711,181729.229,2566390.444,184300.617,2569170.486,94192014_100711a_14~0063_hr4.tif,100711a,DMC,,,
7707,94192019,頂湖,100711a_19~0191_hr4,0,一般圖,20100711,194524.962,2566339.467,197093.93,2569117.266,94192019_100711a_19~0191_hr4.tif,100711a,DMC,,,
7894,94192031,曾文農場,081122a_11~0190_rgb,0,一般圖,20081122,173880.0,2560750.0,176745.0,2563815.0,94192031_081122a_11~0190_rgb.tif,081122a,DMC,,,
7896,94192031,曾文農場,090628a_11~0255_rgb,10,一般圖,20090628,173880.0,2560750.0,176745.0,2563815.0,94192031_090628a_11~0255_rgb.tif,090628a,DMC,,,
8013,94192036,竹宅子,191130_0603_mtbn,10,一般圖,20191130,186824.084,2560831.76,189395.432,2563610.868,94192036_191130_0603_mtbn.tif,191130_,ADS40,,,
8087,94192042,善化,130601a_12~0207_hr4,30,一般圖,20130601,176569.996,2558108.354,179143.741,2560889.24,94192042_130601a_12~0207_hr4.tif,130601a,DMC,,,
8205,94192049,玉井,100711a_19~0179_hr4,10,一般圖,20100711,194494.063,2558034.093,197064.427,2560811.842,94192049_100711a_19~0179_hr4.tif,100711a,DMC,,,
8319,94192055,大內,170430_0429_mtbn,20,一般圖,20170430,184239.615,2555305.421,186812.371,2558084.942,94192055_170430_0429_mtbn.tif,170430_,ADS40,,,
8347,94192057,唭哩瓦,180606_0319_mtbn,40,一般圖,20180606,189361.716,2555284.659,191933.507,2558063.286,94192057_180606_0319_mtbn.tif,180606_,ADS40,,,
8362,94192058,望月,191130_0641_mtbn,90,一般圖,20191130,191922.754,2555274.937,194494.063,2558053.116,94192058_191130_0641_mtbn.tif,191130_,ADS40,,,
8383,94192060,坑內,191110_0231_mtbn,10,一般圖,20191110,197044.808,2555256.806,199615.154,2558034.093,94192060_191110_0231_mtbn.tif,191110_,ADS40,,,
8466,94192064,大庄,171031_0247_mtbn,0,一般圖,20171031,181665.915,2552547.984,184239.615,2555327.936,94192064_171031_0247_mtbn.tif,171031_,ADS40,,,
8533,94192069,芒子芒埤,170923_0315_mtbn,20,一般圖,20170923,194473.517,2552497.22,197044.808,2555274.937,94192069_170923_0315_mtbn.tif,170923_,ADS40,,,
8602,94192073,深坑橋,151015a_13~0162_hr4,90,一般圖,20151015,179091.272,2549790.976,181665.915,2552571.357,94192073_151015a_13~0162_hr4.tif,151015a,DMC,,,
8719,94192081,龍潭,130601a_11~0147_hr4,40,一般圖,20130601,173953.175,2547046.717,176529.243,2549827.975,94192081_130601a_11~0147_hr4.tif,130601a,DMC,,,
8734,94192082,新化鎮,070702a_12~0111_rgb,10,一般圖,20070702,176370.0,2546895.0,179235.0,2549960.0,94192082_070702a_12~0111_rgb.tif,070702a,DMC,,,
8825,94192087,內莊,130909a_17~0185_hr4,10,一般圖,20130909,189328.104,2546979.342,191901.282,2549757.917,94192087_130909a_17~0185_hr4.tif,130909a,DMC,,,
8973,94192096,大坑尾,090628a_16~0138_rgb,10,一般圖,20090628,186610.0,2544080.0,189475.0,2547145.0,94192096_090628a_16~0138_rgb.tif,090628a,DMC,,,
9000,94192098,紅毛寮,120902a_18~0095_hr4,90,一般圖,20120902,191879.853,2544201.23,194453.012,2546979.342,94192098_120902a_18~0095_hr4.tif,120902a,DMC,,,
9066,94193004,蘆竹溝,140927a_04~0690_hr4,0,一般圖,20140927,156154.506,2569294.025,158730.304,2572078.606,94193004_140927a_04~0690_hr4.tif,140927a,DMC,,,
9094,94193005,三寮灣,150415a_05~0021_hr4,0,一般圖,20150415,158713.299,2569278.537,161288.608,2572062.664,94193005_150415a_05~0021_hr4.tif,150415a,DMC,,,
9113,94193006,二重港村,110508_0442_mtbn,0,一般圖,20110508,161272.079,2569263.489,163846.9,2572047.163,94193006_110508_0442_mtbn.tif,110508_,ADS40,,,
9126,94193006,二重港村,171009_0212_mtbn,20,一般圖,20171009,161272.079,2569263.489,163846.9,2572047.163,94193006_171009_0212_mtbn.tif,171009_,ADS40,,,
9190,94193009,瓦寮,130601a_09~0452_hr4,30,一般圖,20130601,168948.352,2569220.989,171521.709,2572003.305,94193009_130601a_09~0452_hr4.tif,130601a,DMC,,,
9318,94193016,將軍,191128_0625_mtbn,0,一般圖,20191128,161255.568,2566494.885,163830.848,2569278.537,94193016_191128_0625_mtbn.tif,191128_,ADS40,,,
9346,94193018,大灣,080924_0236_RGBN,10,一般圖,20080924,166230.0,2566325.0,169095.0,2569390.0,94193018_080924_0236_RGBN.tif,080924_,ADS40,,,
9375,94193019,海埔,110608a_09~0159_hr4,0,一般圖,20110608,168933.269,2566452.419,171507.088,2569234.715,94193019_110608a_09~0159_hr4.tif,110608a,DMC,,,
9390,94193019,海埔,180901_0350_mtbn,40,一般圖,20180901,168933.269,2566452.419,171507.088,2569234.715,94193019_180901_0350_mtbn.tif,180901_,ADS40,,,
9463,94193024,青鯤鯓,220924a_04~0145_hr4,0,一般圖,20220924,156119.595,2563756.773,158696.311,2566541.31,94193024_220924a_04~0145_hr4.tif,220924a,DMC,,,
9571,94193029,麻豆口,130424a_09~0328_hr4,90,一般圖,20130424,168918.202,2563683.858,171492.481,2566466.134,94193029_130424a_09~0328_hr4.tif,130424a,DMC,,,
9635,94193033,西區鹽田,180422_0350_mtbn,0,一般圖,20180422,153541.934,2561004.049,156119.595,2563789.017,94193033_180422_0350_mtbn.tif,180422_,ADS40,,,
9768,94193039,番子寮,100504a_09~0788_hr4,0,一般圖,20100504,168760.0,2560775.0,171625.0,2563840.0,94193039_100504a_09~0788_hr4.tif,100504a,DMC,,,
9771,94193039,番子寮,120513a_09~0219_hr4,30,一般圖,20120513,168903.15,2560915.306,171477.89,2563697.562,94193039_120513a_09~0219_hr4.tif,120513a,DMC,,,
9796,94193040,安業,130424a_10~0348_hr4,20,一般圖,20130424,171463.313,2560902.053,174037.567,2563683.858,94193040_130424a_10~0348_hr4.tif,130424a,DMC,,,
10040,94193053,曾文海埔魚塭,201022a_03~0015_hr4,30,一般圖,20201022,153506.181,2555466.822,156084.756,2558251.746,94193053_201022a_03~0015_hr4.tif,201022a,DMC,,,
10194,94193060,安定,091009a_10~0508_rgb,0,一般圖,20091009,171290.0,2555225.0,174155.0,2558290.0,94193060_091009a_10~0508_rgb.tif,091009a,DMC,,,
10199,94193060,安定,130424a_10~0356_hr4,90,一般圖,20130424,171434.204,2555364.997,174009.378,2558146.763,94193060_130424a_10~0356_hr4.tif,130424a,DMC,,,
10422,94193070,許中營,211115a_10~0030_hr4,0,一般圖,20211115,171419.672,2552596.482,173995.306,2555378.228,94193070_211115a_10~0030_hr4.tif,211115a,DMC,,,
10456,94193073,十一戶子,180901_0222_mtbn,20,一般圖,20180901,153470.502,2549929.63,156049.988,2552714.509,94193073_180901_0222_mtbn.tif,180901_,ADS40,,,
10740,94193087,海西里,090910_0343_rgbn,10,一般圖,20090910,163560.0,2546960.0,166425.0,2550025.0,94193087_090910_0343_rgbn.tif,090910_,ADS40,,,
10793,94193089,安順,120513a_09~0239_hr4,30,一般圖,20120513,168828.121,2547072.674,171405.155,2549854.83,94193089_120513a_09~0239_hr4.tif,120513a,DMC,,,
10818,94193090,鹽行村,121014a_10~0412_hr4c,0,一般圖,20121014,171390.653,2547059.477,173967.204,2549841.184,94193090_121014a_10~0412_hr4c.tif,121014a,DMC,,,
10821,94193090,鹽行村,140620a_10~0357_hr4c,10,一般圖,20140620,171390.653,2547059.477,173967.204,2549841.184,94193090_140620a_10~0357_hr4c.tif,140620a,DMC,,,
11020,94194004,外傘頂洲,120529a_04~0277_hr4,40,一般圖,20120529,156330.128,2596980.8,158901.309,2599765.598,94194004_120529a_04~0277_hr4.tif,120529a,DMC,,,
11299,94194019,港墘,160423a_09~0115_hr4,0,一般圖,20160423,169084.789,2594138.504,171653.972,2596921.0,94194019_160423a_09~0115_hr4.tif,160423a,DMC,,,
11882,94194057,六棟寮,180901_0306_mtbn,0,一般圖,20180901,163911.27,2583091.975,166483.293,2585875.299,94194057_180901_0306_mtbn.tif,180901_,ADS40,,,
11967,94194063,八掌溪口（二）,220302a_03~0074_hr4,10,一般圖,20220302,153667.646,2580384.613,156242.094,2583169.736,94194063_220302a_03~0074_hr4.tif,220302a,DMC,,,
12111,94194070,義竹,130928a_10~0393_hr4,90,一般圖,20130928,171565.663,2580282.023,174136.681,2583063.966,94194070_130928a_10~0393_hr4.tif,130928a,DMC,,,
